INT	INT	STRING	STRING	STRING	STR	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INTARR	INT	STRING	STRING
43	1	角色卡_店中当家（第八期）_ZH	gacha.gacha.4308.name	Poster/event_gacha12008_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4308.timedesc	gacha.gacha.4308.desc	Poster/event_gacha12008_banner_Mul	gacha.gacha.4308.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202106170400, 202107020400}	card_43_3_base_card_49_ZH_08	3		50	100	300	[8-10-108-4]	4308	2	[7-1-4-2-1]	1	150				8		
43	1	角色卡_店中当家（第九期）_ZH	gacha.gacha.4309.name	Poster/event_gacha12009_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4309.timedesc	gacha.gacha.4309.desc	Poster/event_gacha12009_banner_Mul	gacha.gacha.4309.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202107020400, 202107170400}	card_43_3_base_card_49_ZH_09	3		50	100	300	[8-10-109-4]	4309	2	[7-1-4-2-1]	1	150				9		
43	1	角色卡_店中当家（第十期）_ZH	gacha.gacha.4310.name	Poster/event_gacha12010_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4310.timedesc	gacha.gacha.4310.desc	Poster/event_gacha12010_banner_Mul	gacha.gacha.4310.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202107170400, 202108010400}	card_43_3_base_card_51_ZH	3		50	100	300	[8-10-110-4]	4310	2	[7-1-4-2-1]	1	150				10		
43	1	角色卡_店中当家（第十一期）_ZH	gacha.gacha.4311.name	Poster/event_gacha12011_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4311.timedesc	gacha.gacha.4311.desc	Poster/event_gacha12011_banner_Mul	gacha.gacha.4311.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202108010400, 202108160400}	card_43_3_base_card_52_ZH	3		50	100	300	[8-10-111-4]	4311	2	[7-1-4-2-1]	1	150				11		
43	1	角色卡_店中当家（第十二期）_ZH	gacha.gacha.4312.name	Poster/event_gacha12012_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4312.timedesc	gacha.gacha.4312.desc	Poster/event_gacha12012_banner_Mul	gacha.gacha.4312.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202108160400, 202108310400}	card_43_3_base_card_52_ZH_02	3		50	100	300	[8-10-112-4]	4312	2	[7-1-4-2-1]	1	150				12		
43	1	角色卡_店中当家（第十三期）_ZH	gacha.gacha.4313.name	Poster/event_gacha12013_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4313.timedesc	gacha.gacha.4313.desc	Poster/event_gacha12013_banner_Mul	gacha.gacha.4313.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202108310400, 202109150400}	card_43_3_base_card_52_ZH_03	3		50	100	300	[8-10-113-4]	4313	2	[7-1-4-2-1]	1	150				13		
43	1	角色卡_店中当家（第十四期）_ZH	gacha.gacha.4314.name	Poster/event_gacha12014_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4314.timedesc	gacha.gacha.4314.desc	Poster/event_gacha12014_banner_Mul	gacha.gacha.4314.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202109150400, 202109300400}	card_43_3_base_card_58_ZH	3		50	100	300	[8-10-114-4]	4314	2	[7-1-4-2-1]	1	150				14		
43	1	角色卡_店中当家（第十五期）_ZH	gacha.gacha.4315.name	Poster/event_gacha12015_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4315.timedesc	gacha.gacha.4315.desc	Poster/event_gacha12015_banner_Mul	gacha.gacha.4315.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202109300400, 202110150400}	card_43_3_base_card_59_ZH	3		50	100	300	[8-10-115-4]	4315	2	[7-1-4-2-1]	1	150				15		
43	1	角色卡_店中当家（第十六期）_ZH	gacha.gacha.4316.name	Poster/event_gacha12016_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4316.timedesc	gacha.gacha.4316.desc	Poster/event_gacha12016_banner_Mul	gacha.gacha.4316.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202110150400, 202110300400}	card_43_3_base_card_59_ZH_02	3		50	100	300	[8-10-116-4]	4316	2	[7-1-4-2-1]	1	150				16		
43	1	角色卡_店中当家（第十七期）_ZH	gacha.gacha.4317.name	Poster/event_gacha12017_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4317.timedesc	gacha.gacha.4317.desc	Poster/event_gacha12017_banner_Mul	gacha.gacha.4317.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202110300400, 202111140400}	card_43_3_base_card_59_ZH_03	3		50	100	300	[8-10-117-4]	4317	2	[7-1-4-2-1]	1	150				17		
43	1	角色卡_店中当家（第十八期）_ZH	gacha.gacha.4318.name	Poster/event_gacha12018_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4318.timedesc	gacha.gacha.4318.desc	Poster/event_gacha12018_banner_Mul	gacha.gacha.4318.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202111140400, 202111290400}	card_43_3_base_card_59_ZH_04	3		50	100	300	[8-10-118-4]	4318	2	[7-1-4-2-1]	1	150				18		
43	1	角色卡_店中当家（第十九期）_ZH	gacha.gacha.4319.name	Poster/event_gacha12019_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4319.timedesc	gacha.gacha.4319.desc	Poster/event_gacha12019_banner_Mul	gacha.gacha.4319.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202111290400, 202112140400}	card_43_3_base_card_61_ZH	3		50	100	300	[8-10-119-4]	4319	2	[7-1-4-2-1]	1	150				19		
43	1	角色卡_店中当家（第二十期）_ZH	gacha.gacha.4320.name	Poster/event_gacha12020_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4320.timedesc	gacha.gacha.4320.desc	Poster/event_gacha12020_banner_Mul	gacha.gacha.4320.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202112140400, 202112290400}	card_43_3_base_card_61_ZH_02	3		50	100	300	[8-10-120-4]	4320	2	[7-1-4-2-1]	1	150				20		
43	1	角色卡_店中当家（第二十一期）_ZH	gacha.gacha.4321.name	Poster/event_gacha12021_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4321.timedesc	gacha.gacha.4321.desc	Poster/event_gacha12021_banner_Mul	gacha.gacha.4321.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202112290400, 202201130400}	card_43_3_base_card_63_ZH	3		50	100	300	[8-10-121-4]	4321	2	[7-1-4-2-1]	1	150				21		
43	1	角色卡_店中当家（第二十二期）_ZH	gacha.gacha.4322.name	Poster/event_gacha12022_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4322.timedesc	gacha.gacha.4322.desc	Poster/event_gacha12022_banner_Mul	gacha.gacha.4322.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202201130400, 202201280400}	card_43_3_base_card_64_ZH	3		50	100	300	[8-10-122-4]	4322	2	[7-1-4-2-1]	1	150				22		
43	1	角色卡_店中当家（第二十三期）_ZH	gacha.gacha.4323.name	Poster/event_gacha12023_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4323.timedesc	gacha.gacha.4323.desc	Poster/event_gacha12023_banner_Mul	gacha.gacha.4323.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202201280400, 202202120400}	card_43_3_base_card_65_ZH	3		50	100	300	[8-10-123-4]	4323	2	[7-1-4-2-1]	1	150				23		
43	1	角色卡_店中当家（第二十四期）_ZH	gacha.gacha.4324.name	Poster/event_gacha12024_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4324.timedesc	gacha.gacha.4324.desc	Poster/event_gacha12024_banner_Mul	gacha.gacha.4324.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202202120400, 202202270400}	card_43_3_base_card_65_ZH_02	3		50	100	300	[8-10-124-4]	4324	2	[7-1-4-2-1]	1	150				24		
43	1	角色卡_店中当家（第二十五期）_ZH	gacha.gacha.4325.name	Poster/event_gacha12025_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4325.timedesc	gacha.gacha.4325.desc	Poster/event_gacha12025_banner_Mul	gacha.gacha.4325.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202202270400, 202203140400}	card_43_3_base_card_65_ZH_03	3		50	100	300	[8-10-125-4]	4325	2	[7-1-4-2-1]	1	150				25		
43	1	角色卡_店中当家（第二十六期）_ZH	gacha.gacha.4326.name	Poster/event_gacha12026_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4326.timedesc	gacha.gacha.4326.desc	Poster/event_gacha12026_banner_Mul	gacha.gacha.4326.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202203140400, 202203290400}	card_43_3_base_card_65_ZH_04	3		50	100	300	[8-10-126-4]	4326	2	[7-1-4-2-1]	1	150				26		
43	1	角色卡_店中当家（第二十七期）_ZH	gacha.gacha.4327.name	Poster/event_gacha12027_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4327.timedesc	gacha.gacha.4327.desc	Poster/event_gacha12027_banner_Mul	gacha.gacha.4327.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202203290400, 202204130400}	card_43_3_base_card_66_ZH	3		50	100	300	[8-10-127-4]	4327	2	[7-1-4-2-1]	1	150				27		
43	1	角色卡_店中当家（第二十八期）_ZH	gacha.gacha.4328.name	Poster/event_gacha12028_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4328.timedesc	gacha.gacha.4328.desc	Poster/event_gacha12028_banner_Mul	gacha.gacha.4328.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202204130400, 202204280400}	card_43_3_base_card_66_ZH_02	3		50	100	300	[8-10-128-4]	4328	2	[7-1-4-2-1]	1	150				28		
43	1	角色卡_店中当家（第二十九期）_ZH	gacha.gacha.4329.name	Poster/event_gacha12029_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4329.timedesc	gacha.gacha.4329.desc	Poster/event_gacha12029_banner_Mul	gacha.gacha.4329.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202204280400, 202205130400}	card_43_3_base_card_66_ZH_03	3		50	100	300	[8-10-129-4]	4329	2	[7-1-4-2-1]	1	150				29		
43	1	角色卡_店中当家（第三十期）_ZH	gacha.gacha.4330.name	Poster/event_gacha12030_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4330.timedesc	gacha.gacha.4330.desc	Poster/event_gacha12030_banner_Mul	gacha.gacha.4330.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202205130400, 202205280400}	card_43_3_base_card_66_ZH_04	3		50	100	300	[8-10-130-4]	4330	2	[7-1-4-2-1]	1	150				30		
43	1	角色卡_店中当家（第三十一期）_ZH	gacha.gacha.4331.name	Poster/event_gacha12031_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.4331.timedesc	gacha.gacha.4331.desc	Poster/event_gacha12031_banner_Mul	gacha.gacha.4331.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202205280400, 202206120400}	card_43_3_base_card_70_ZH	3		50	100	300	[8-10-131-4]	4331	2	[7-1-4-2-1]	1	150				31		
																																		
77	1	白金特选蛋池（SSR)	gacha.gacha.7.name	Poster/event_gacha07_banner_Mul	Poster/event_gacha07_Mul	gacha.gacha.7.timedesc	gacha.gacha.7.desc	Poster/event_gacha07_banner_Mul	gacha.gacha.7.info	1	[9-15-1-1-1]		1	1		{202010300800, 20210310075959}	card_platinum_ZH_1021	98						4	4	[7-1-4-2-1]	1	150						
77	1	白金特选蛋池（SSR)_新增(水着二期、战术三期、事务官一期)	gacha.gacha.7.name	Poster/event_gacha07_banner_Mul	Poster/event_gacha07_Mul	gacha.gacha.7.timedesc	gacha.gacha.7.desc	Poster/event_gacha07_banner_Mul	gacha.gacha.7.info	1	[9-15-1-1-1]		1	1		{202103100800, 202111190800}	card_platinum_ZH_20210310	98						4	4	[7-1-4-2-1]	1	150						
77	1	白金特选蛋池（SSR)_（2周年庆更新）	gacha.gacha.7.name	Poster/event_gacha07_banner_Mul	Poster/event_gacha07_Mul	gacha.gacha.7.timedesc	gacha.gacha.7.desc	Poster/event_gacha07_banner_Mul	gacha.gacha.7.info	1	[9-15-1-1-1]		1	1		{202111190800, 207708292359}	card_platinum_ZH_20211118	98						4	4	[7-1-4-2-1]	1	150						
																																		
700	0	武器蛋池_武器自选1期	gacha.gacha.weapon_700.name	Poster/event_wqgacha05_Mul	Poster/event_wqgacha05_banner_Mul	gacha.gacha.weapon_700.timedesc	gacha.gacha.weapon_700.desc	Poster/event_wqgacha05_banner_Mul	gacha.gacha.weapon_700.info	0	[7-7-1-4-1]	[7-10-1-4-1]	1			{202004280800, 202005140400}	weapon_1	1	4					3	3		1	90						
701	0	武器蛋池_武器自选2期	gacha.gacha.weapon_701.name	Poster/event_wqgacha05_Mul	Poster/event_wqgacha05_banner_Mul	gacha.gacha.weapon_701.timedesc	gacha.gacha.weapon_701.desc	Poster/event_wqgacha05_banner_Mul	gacha.gacha.weapon_701.info	0	[7-7-1-4-1]	[7-10-1-4-1]	1			{202102240800, 202103100400}	weapon_choose_base_weapon_510	1	4					701	3		1	90						
																																		
800	1	角色卡_1周年庆_国服	gacha.gacha.800.name	Poster/event_gacha116_banner_Mul	Poster/event_gacha116_Mul	gacha.gacha.800.timedesc	gacha.gacha.800.desc	Poster/event_gacha116_banner_Mul	gacha.gacha.800.info	1	[9-20-1-1-1]		4	1		{202011211200, 202012240400}	card_1st_anniversary_ZH	2	4					4	2	[7-1-4-2-1]	1	150						
801	1	角色卡_2周年庆_国服	gacha.gacha.801.name	Poster/event_gacha116_banner_Mul	Poster/event_gacha116_Mul	gacha.gacha.801.timedesc	gacha.gacha.801.desc	Poster/event_gacha116_banner_Mul	gacha.gacha.801.info	1	[9-31-1-1-1]		4	1		{202111211200, 202112230400}	card_2nd_anniversary_ZH	2	4					4	2	[7-1-4-2-1]	1	150						
